sample,y_true,y_pred
0963ba541d56b9805713aa13d955b91f6bb875318698ba6119d5944d68c45afb,0,0
2965c1b6ab9d1601752cb4aa26d64a444b0a535b1a190a70d5ce935be3f91699,0,0
5e57aed3bf9d7625ed853f40cc59c2e0c872ca7b9b63cf7d252b5bb106c806bf,0,0
a1694725158441219fae3f96aa6b345f610195995568c9409cf5c9aac029c51a,0,0
5cebc133ae3b6afee27beb7d3cdb5f3d675c3f12b7204531f453e99acdaa87b1,0,0
95e08990fdf11251e9ee935f0b2e075667133758bc68c4d390e82f041a54e4b3,0,0
ec3a37a635c8ccd6c80c725f3808e21352872184fe4e9b1b96b4b6ed379fc85d,0,0
3a7f2746838d785a45a9fd3b02829f7f5dd3d0ec122d6be69fd1ba7225454910,0,0
325b2fb59e50a5a65fa00dde4b49d285813d15c40ddb61c2d8a5f13cc1f6f0dc,0,0
b6bc96ffcbdbf22f908a02b8fe2a392c8e5b8420a120935c2834f0dd5934832e,0,0
e7dfd48778492006c53cacfae012a55911206e768c8a3373b56dd5ad0e6bc284,0,0
d7c6926938c6eb47fa1faee887dbd103c761392c35f2af82c2fec308b29b53ec,0,0
13c4b244bd9f0e609a60e5dd9062006fc0f845146756f3ec74ea2c4a48d58485,0,0
f7f6249ba423d1ce70a79621e1092ce37be7c4ad7dd768e0f3f6eafdd18d610e,0,0
801a2d3687e64f6d0f70fefe1ac09686716e7317b88f3b24e54e76957601346f,0,0
50a9104e02e2fc6a1c3bc9b4f4e8be10c52f2c1c6943734c6497dd7ed4ef6172,0,0
104d02d4149b4983e411031c3d782db79783a41333a0308b6fc368605e10d5c7,0,0
ec49983235a079c72c32212f0e216fb8ebd2354b6936c39cfd736c4a2dd018e4,0,0
dd52dd9975e9416fd24d4230c84fa82e1edbdfee75670486d5a38ef9cc042960,0,0
31941dfa5396b2ed574b8e1ce36af2ef568a2c3de25b001819f72563d27ee5c8,0,0
de33dfce8143f9f929abda910632f7536ffa809603ec027a4193d5e57880b292,0,0
ad5ce793bea64ed9a416236d1e4b99b021a771e5d57a46b97cf1e288e5617132,0,0
3dae326b5ff9f9c075c2d42347042fbb237dec697a729f432ba87e215f4dc8cf,0,0
e458031e9cee02dc4b7a9404d6dd3fcce5169ab13ca3e915357d45816af4e9f2,0,0
b8350ae1e30b3705c8f388784bc40ffcba1279513014f98385047a485073b5ec,0,0
d02d16ca1d1f4e05f98771fabe09dd1ac16ccf7031e2652d29723af35d3d9e82,0,0
1ade09a1c54800787dc63d09b76f69fd2cca8b4bbb63c8c39c720628ea37471a,0,0
ed8c6d081a0e946cbfa842d0b749adb42d8fb49a954f2f39ce5c88a7e4a88c26,0,0
a0c1e35d61b70b0f0ce59e019750617e5f3ab9add117abf3a33ab7b0d784c2bf,0,0
