fn_list,y_true,y_pred,0,1,2,3,4
../dataset/extracted/96a204e8533f829b32b1c6da03578e5275b613d7fa2bde9dcfdd669f71df4eed,0,0,0.5753776,0.00016607711,0.42442054,9.333919e-09,3.5778103e-05
../dataset/extracted/f5e444469407a3e894d368b79878a149696015ed2f666dddb49bd484f144d104,0,0,0.9684095,0.0008611438,0.029899038,1.2123942e-07,0.000830262
../dataset/extracted/8585342d297b4726900e8818817b14042e1a3da5a1497380572a64dcf6d4819c,0,0,0.9453793,0.04097955,0.013297389,4.4202472e-14,0.00034371112
../dataset/extracted/774efc29c19254714c986423aee968bfb03daf4ce79fddbef4ec3b4b5eee3f8f,0,0,0.9953891,0.00032277463,0.0042829914,8.9283907e-14,5.1063375e-06
../dataset/extracted/e6ab4cde17065c97850c2e7e6c308918861c040e7398715138d1488e3ae38c34,0,0,0.9799042,0.002804245,0.011138997,0.005603791,0.00054877816
../dataset/extracted/f7e683987d0e9c80ac75e031765bac0bb9df6fa5b5ea351d2b5850b05c89c9b6,0,0,0.8836755,0.03839816,0.07781352,3.9514138e-13,0.00011286461
../dataset/extracted/f251485a62e104dfd8629dc4d2dfd572ebd0ab554602d682a28682876a47e773,0,0,0.9965514,0.0008192113,0.0024829863,7.101589e-05,7.534267e-05
../dataset/extracted/42334f2119069b8c0ececfb14a7030e480b5d18ca1cc35f1ceaee847bc040e53,0,0,0.9689785,0.0130918175,0.017913388,2.76955e-11,1.6329834e-05
../dataset/extracted/e5dad9637e84732d1e8b0c9973d4ef14365f4f300a966a4a3af6ec1c45cc5683,0,0,0.96880454,0.026771637,0.0044212737,9.074621e-13,2.5897166e-06
../dataset/extracted/3afdf6103f65bac8a75c614ca61d6f99697dd58116e53281bb4f4f79fefb8bf0,0,0,0.996249,0.00027777362,0.003472763,1.6186208e-15,5.250533e-07
../dataset/extracted/91645ee88782a4d51ba2b6ee0c52e089facdfe8fea8f8c21fe35457f90a1437c,0,0,0.9916991,0.0009579838,0.0073413136,3.5004386e-13,1.6713093e-06
../dataset/extracted/e7cfe7169b058b460fd172b59e809779a98ca0f17e4202fd1f0df6795626fac4,0,0,0.9807701,0.00853479,0.01030614,2.1930886e-14,0.0003890008
../dataset/extracted/c9a92af5f602834e4ebe133b598beadfd9204fdb863611005aac59d3fb5387c0,0,0,0.96467495,0.024789615,0.010527324,1.2266946e-12,8.20885e-06
../dataset/extracted/c6dc46d2d44d08dbde58abe5f68a338647e34a94f53b0af6fad4cbb0b9e56b97,0,0,0.9803632,0.0007385356,0.018898057,1.5613307e-14,2.890371e-07
../dataset/extracted/5b3e07ff6d930392b8749e68a54b1e04062794d1dafff226fb61ba4baf8bbfc6,0,0,0.98669934,0.01309478,0.0001976002,8.4469145e-13,8.277035e-06
../dataset/extracted/5a4980a432703e964c8cc07f6a02b7723a2be2070e0ec7f98b2f5a2623b8dcb7,0,0,0.75500166,0.002948338,0.24172369,1.9653747e-08,0.00032631605
../dataset/extracted/74eba8e156d1c05b633bbe22ae03064050938317957e3d70c28d492285f1d4d3,0,0,0.9791574,0.0055079865,0.015331811,1.88855e-14,2.820582e-06
../dataset/extracted/5a07e6943e800d7951603b5a2dae22fd5b022fffa5f820ed1212820e2c357b0d,0,0,0.90593135,0.07612565,0.01713028,1.1616227e-11,0.0008128165
../dataset/extracted/010f36d6b66747e906c8f7025df1e154ceabc598f9c1d91357a97f89af0c0cda,0,0,0.9957847,0.0021025226,0.0021098559,2.5869934e-13,2.8309453e-06
../dataset/extracted/7ea4591a4ba94d2be4346b3af502bf6d34bcf98ae05a040907c8d7bac28cbc01,0,0,0.9315469,0.0011687697,0.06723828,1.9845855e-08,4.5957735e-05
../dataset/extracted/965b9852fbb900d604e826b0a5614a23571c7b4c65580b189511f7f699a384ca,0,0,0.9290042,0.009712491,0.061262053,3.2500383e-13,2.1142603e-05
../dataset/extracted/c10d7ea92fa96c79cfc3dd6957cad346ae3efd611eb4cca6e368c5c0fcad87be,0,4,0.07239622,0.2749804,0.05084317,0.03902737,0.56275284
../dataset/extracted/c1e28e070fb45531dd43cd6431698345041fd3daf64a6edb4aa67ce0dd2f8fa7,0,0,0.99575114,0.0021244786,0.002121561,2.5955404e-13,2.843803e-06
../dataset/extracted/4cc5c6bd9984ba49dde35639667ffa758d58b5e15a51c51e019c0a5aa6cc2a40,0,0,0.9681696,0.0148570845,0.016943699,2.5494292e-12,2.949567e-05
../dataset/extracted/3ff2fe9a2ac6bdfd41f5743d4aef3927bbe89410f5f32ae9c965c3f67affcf7f,0,0,0.89132726,0.00021172642,0.108429626,4.4964814e-09,3.1309926e-05
../dataset/extracted/b01780388d276f49b4b55e42aea3dedbda5b62fc7bce21f733d3efdd8ed2cb6d,0,0,0.95867693,0.001447899,0.03939557,1.588853e-10,0.00047961733
../dataset/extracted/646194791590993c21a49e16465c245094e288c077d1e279258c3d22de0febf8,0,0,0.96813446,0.00086437946,0.03016338,1.2205953e-07,0.0008376307
../dataset/extracted/d5e3122a263d3f66dcfa7c2fed25c2b8a3be725b2c934fa9d9ef4c5aefbc6cb9,1,1,0.008452322,0.9900004,0.0011566861,2.564167e-14,0.00039063257
../dataset/extracted/7abf424fd57e49756307cc07e05627470a0d1f000a3c8fcc422ea4391981f6a2,1,1,0.00018493828,0.9777625,0.021985583,2.0137874e-11,6.693551e-05
../dataset/extracted/3d13f2e5b241168005425b15410556bcf26d04078da6b2ef42bc0c2be7654bf8,1,1,0.007643737,0.99229723,5.7108395e-05,4.7732373e-14,1.8549886e-06
../dataset/extracted/55129d34050b2c028de564e3166611e1d148c26de0972cbe047caf530f118468,1,1,3.201797e-05,0.9983014,0.00048320272,3.937285e-13,0.0011834003
../dataset/extracted/fb3a3339e2ba82cb3dcdc43d0e49e7b8a26ced3a587f5ee15a256aee062e6e05,1,1,0.048341807,0.95049703,0.0011565181,4.774666e-14,4.694304e-06
../dataset/extracted/81e5e73452aa8b14f6c6371af2dccab720a32fadfc032b3c8d96f9cdaab9e9df,1,1,0.0046364903,0.9909161,0.0039670165,6.054185e-06,0.0004744314
../dataset/extracted/49dca913ff5c4782e8f8fa2dfd161110bc5c8cd36c9ce8aa0efd1860ab668e6e,1,1,0.000109245564,0.9997813,0.0001085601,5.9347946e-16,8.9117464e-07
../dataset/extracted/83e57d8f3810a72a772742d4b786204471a7607e02fa445c3cd083f164cc4af3,1,1,0.00023697026,0.99939585,0.00036683027,8.098322e-17,3.4378448e-07
